Unnamed: 0,file,date,latitude,longitude,ocean,profiler_type,institution,date_update,month_bin,geometry
446492,csio/2902837/profiles/R2902837_059.nc,2023-01-01 15:54:00,11.004,85.762,I,870,HZ,2023-01-01 18:00:09,2023-01,POINT (85.762 11.004)
415572,csio/2902769/profiles/D2902769_108.nc,2023-01-01 03:23:36,5.806,85.954,I,841,HZ,2025-06-03 07:06:16,2023-01,POINT (85.954 5.806)
476339,csio/2902766/profiles/D2902766_112.nc,2023-02-07 11:32:26,15.364,86.712,I,841,HZ,2024-09-05 01:52:16,2023-02,POINT (86.712 15.364)
416044,aoml/2903132/profiles/D2903132_177.nc,2023-02-05 14:58:06,5.049,91.925,I,854,AO,2025-03-26 12:58:00,2023-02,POINT (91.925 5.049)
476585,csio/2902758/profiles/R2902758_150.nc,2023-03-07 12:18:00,17.71,87.164,I,870,HZ,2023-03-20 02:44:58,2023-03,POINT (87.164 17.71)
431600,csio/2902769/profiles/D2902769_115.nc,2023-03-09 05:27:51,6.738,85.618,I,841,HZ,2025-06-03 07:06:16,2023-03,POINT (85.618 6.738)
476341,csio/2902766/profiles/D2902766_118.nc,2023-04-05 23:34:34,15.489,86.705,I,841,HZ,2024-09-05 01:52:16,2023-04,POINT (86.705 15.489)
431601,csio/2902769/profiles/D2902769_118.nc,2023-04-06 23:29:03,6.516,84.999,I,841,HZ,2025-06-03 07:06:16,2023-04,POINT (84.999 6.516)
431408,aoml/2902394/profiles/D2902394_279.nc,2023-05-17 05:38:06,7.993,82.213,I,854,AO,2025-03-26 17:33:55,2023-05,POINT (82.213 7.993)
461770,csio/2902772/profiles/D2902772_119.nc,2023-05-17 03:39:50,13.618,86.863,I,841,HZ,2025-05-29 07:58:38,2023-05,POINT (86.863 13.618)
415814,csio/2902769/profiles/D2902769_124.nc,2023-06-03 11:09:32,5.604,87.459,I,841,HZ,2025-06-03 07:06:16,2023-06,POINT (87.459 5.604)
431409,coriolis/1902594/profiles/R1902594_006.nc,2023-06-29 10:47:56,6.201,82.077,I,834,IF,2024-12-10 07:46:32,2023-06,POINT (82.077 6.201)
476342,csio/2902772/profiles/D2902772_124.nc,2023-07-06 13:43:50,15.334,86.436,I,841,HZ,2025-05-29 07:58:38,2023-07,POINT (86.436 15.334)
431410,aoml/2902394/profiles/D2902394_284.nc,2023-07-05 04:18:02,8.746,82.303,I,854,AO,2025-03-26 17:33:55,2023-07,POINT (82.303 8.746)
476343,csio/2902772/profiles/D2902772_127.nc,2023-08-05 19:29:01,16.12,86.85,I,841,HZ,2025-05-29 07:58:38,2023-08,POINT (86.85 16.12)
431411,aoml/2902394/profiles/D2902394_287.nc,2023-08-03 05:09:07,8.981,83.34,I,854,AO,2025-03-26 17:33:55,2023-08,POINT (83.34 8.981)
446498,csio/2902837/profiles/R2902837_108.nc,2023-09-05 05:00:00,11.969,84.243,I,870,HZ,2023-09-05 06:00:14,2023-09,POINT (84.243 11.969)
415817,csio/2902764/profiles/R2902764_137.nc,2023-09-07 11:29:25,5.667,89.154,I,841,HZ,2023-09-07 13:01:54,2023-09,POINT (89.154 5.667)
446731,incois/4903776/profiles/D4903776_002.nc,2023-10-01 13:46:43,10.8,88.483,I,844,IN,2025-05-31 16:54:24,2023-10,POINT (88.483 10.8)
415581,csio/2902769/profiles/D2902769_137.nc,2023-10-06 01:31:59,5.686,86.764,I,841,HZ,2025-06-03 07:06:16,2023-10,POINT (86.764 5.686)
461543,coriolis/1902594/profiles/R1902594_019.nc,2023-11-03 13:42:38,12.686,83.397,I,834,IF,2024-12-10 07:46:45,2023-11,POINT (83.397 12.686)
431608,csio/2902775/profiles/D2902775_178.nc,2023-11-05 05:23:15,7.888,86.391,I,841,HZ,2025-05-29 02:11:39,2023-11,POINT (86.391 7.888)
462230,incois/2903891/profiles/D2903891_009.nc,2023-12-10 14:11:27,13.033,90.333,I,844,IN,2025-05-26 10:57:11,2023-12,POINT (90.333 13.033)
431609,csio/2902775/profiles/D2902775_181.nc,2023-12-05 05:27:58,7.721,86.332,I,841,HZ,2025-05-29 02:11:39,2023-12,POINT (86.332 7.721)
